# Estimated Coulombstress in Roof region of gallery in Morsleben (from Dirk Becker) (see Dahm, 2022, fig 7)
# Coulombstress_in_Pa   day_since_filling
3091394.77  47.354
3091136.43  47.396
3090809.51  47.438
3090412.68  47.479
3089944.59  47.521
3089403.89  47.562
3088789.26  47.604
3070580.59  47.646
3018176.19  47.688
2943140.73  47.729
2857186.04  47.771
2772023.93  47.812
2699366.23  47.854
2650924.75  47.896
2636847.86  47.938
2634525.82  47.979
2632748.60  48.021
2631403.72  48.062
2630378.67  48.104
2629560.98  48.146
2628838.14  48.188
2628097.67  48.229
2627227.08  48.271
2626113.86  48.312
2624645.54  48.354
2622709.61  48.396
2619055.37  48.438
2610750.75  48.479
2598332.56  48.521
2582548.28  48.562
2564145.36  48.604
2543871.28  48.646
2522473.50  48.688
2500699.50  48.729
2479296.73  48.771
2459012.68  48.812
2440594.79  48.854
2424790.55  48.896
2412347.42  48.938
2404012.86  48.979
2400534.35  49.021
2406153.08  49.062
2423930.17  49.104
2448506.07  49.146
2474405.22  49.188
2496152.08  49.229
2508271.11  49.271
2506380.96  49.312
2493173.15  49.354
2473107.84  49.396
2450541.76  49.438
2429831.64  49.479
2414614.20  49.521
2399936.05  49.562
2385350.28  49.604
2372717.49  49.646
2363898.31  49.688
2360757.61  49.729
2366883.59  49.771
2382028.70  49.812
2402892.27  49.854
2426173.63  49.896
2448572.10  49.938
2469289.22  49.979
2492344.59  50.021
2516441.19  50.062
2539971.16  50.104
2561326.64  50.146
2579367.82  50.188
2596590.83  50.229
2612932.26  50.271
2627512.07  50.312
2639450.22  50.354
2647876.70  50.396
2653219.24  50.438
2656934.27  50.479
2660168.16  50.521
2664067.26  50.562
2669777.94  50.604
2680839.69  50.646
2700774.93  50.688
2726449.03  50.729
2754565.59  50.771
2781828.21  50.812
2805711.81  50.854
2828833.48  50.896
2851953.92  50.938
2875205.37  50.979
2898720.09  51.021
2922653.64  51.062
2947626.78  51.104
2972822.10  51.146
2996822.52  51.188
3018714.47  51.229
3040626.30  51.271
3062650.85  51.312
3083997.74  51.354
3107313.19  51.396
3106062.71  51.438
3094077.17  51.479
3078178.05  51.521
3067620.05  51.562
3062335.75  51.604
3063357.38  51.646
3073757.62  51.688
3086042.44  51.729
3100368.64  51.771
3114885.98  51.812
3127192.29  51.854
3139563.72  51.896
3154579.14  51.938
3172299.92  51.979
3191328.32  52.021
3210252.03  52.062
3227753.50  52.104
3244152.91  52.146
3260128.17  52.188
3276144.78  52.229
3292675.74  52.271
3312631.97  52.312
3335700.97  52.354
3358358.73  52.396
3377081.24  52.438
3388344.48  52.479
3390084.75  52.521
3390084.75  52.562
3390084.75  52.604
3390084.75  52.646
3390084.75  52.688
3390084.75  52.729
3390084.75  52.771
3390084.75  52.812
3390480.99  52.854
3397276.21  52.896
3411213.25  52.938
3430621.13  52.979
3453828.86  53.021
3479165.47  53.062
3504959.96  53.104
3529541.36  53.146
3551238.69  53.188
3568380.95  53.229
3579562.56  53.271
3588737.92  53.312
3597719.79  53.354
3606459.40  53.396
3614907.92  53.438
3623016.57  53.479
3630736.54  53.521
3638019.03  53.562
3644815.23  53.604
3651076.35  53.646
3656753.59  53.688
3661798.14  53.729
3666161.20  53.771
3669793.98  53.812
3672647.66  53.854
3674673.46  53.896
3675822.56  53.938
3675875.70  53.979
3671543.56  54.021
3661992.21  54.062
3647767.91  54.104
3629416.89  54.146
3607485.39  54.188
3582519.67  54.229
3555065.95  54.271
3525670.49  54.312
3494879.54  54.354
3463239.32  54.396
3431296.09  54.438
3399596.09  54.479
3365906.40  54.521
3322862.16  54.562
3276557.97  54.604
3234357.23  54.646
3200221.44  54.688
3165375.72  54.729
